Item_number,Description,"Total_650K
"
010193-029-02060,Assy R4 Support,87
010193-029-02053,Assy R4 Support,136
010193-029-02045,Assy R4 Support,27
010193-029-02038,Assy R4 Support,36
010193-026-01710,Assy brace multiplex,0
010193-026-01310,Assy brace multiplex,0
010193-026-01110,Assy brace multiplex,6
010193-026-00910,Assy brace multiplex,33
010193-026-00810,Assy brace multiplex,24
010193-026-00710,Assy brace multiplex,109
010193-026-00610,Assy brace multiplex,166
010193-026-00510,Assy brace multiplex,0
010193-023-00002,Assy brace,17
010193-023-00001,Assy brace,911
010193-021-03082,Assy NC ARP pressure unit without brake,66
010193-021-03052,Assy NC ARP pressure unit without brake,0
010193-014-00001,Support Bracket,0
010193-012-01710,Assy Crossmember Heavy (2x Bed) W=,39
010193-012-01510,Assy Crossmember Heavy (2x Bed) W=,0
010193-012-01310,Assy Crossmember Heavy (2x Bed) W=,160
010193-011-13082,assy NC ARP pressure unit with distance to brake = 45 mm,33
010193-007-01200,Assy Single R4 Support,0
010193-007-01050,Assy Single R4 Support,0
010193-007-00825,Assy Single R4 Support,27
010193-007-00750,Assy Single R4 Support,0
010193-007-00675,Assy Single R4 Support,6
010193-007-00600,Assy Single R4 Support,0
010193-007-00525,Assy Single R4 Support,24
010193-007-00375,Assy Single R4 Support,0
010193-005-00001,Assy single crossmember,0
010193-001-01110,Assy Crossmember round (Bed=) W=,202
010193-001-01010,Assy Crossmember round (Bed=) W=,26
010193-001-00910,Assy Crossmember round (Bed=) W=,327
010193-001-00810,Assy Crossmember round (Bed=) W=,66
010193-001-00710,Assy Crossmember round (Bed=) W=,865
010193-001-00610,Assy Crossmember round (Bed=) W=,1356
010192-036-00150,Open box profile length is L,442
010188-062-01020,Assy LRJ Underguarding,0
010188-058-00958,LR Motor Underguarding,0
010188-058-00558,LR Motor Underguarding,0
010188-057-00040,Assy LRC Underguarding,0
010188-057-00030,Assy LRC Underguarding,0
010188-054-01020,Assy LRJ Right Mod-Kit Drive Train,0
010188-053-01020,Assy LRJ Left Mod-Kit Drive Train,0
010188-052-01020,Assy LR Mod-Kit Drive Train,0
010188-052-00620,Assy LR Mod-Kit Drive Train,0
010188-051-00620,Assy LRC Mod-Kit Drive Train,0
010188-032-00001,Assy square tube angled,7
009847-313-00600,Assy Chute Left,0
009847-278-00001CUZ,Change over,0
009847-278-00001,Change over,142
009847-264-00600,Assy Chute Right,0
009650-075-00001,Assy end piece for ETU,28
009570-218-00001,Assy Connection BF-BF Adjustable Angle ETU ?75,14
009570-213-01500,Assy Safety Cover Change Over ETU ?100,0
009570-213-01200,Assy Safety Cover Change Over ETU ?100,0
009570-212-01000,Assy Safety Cover Change Over ETU ?75,0
009570-211-63000,Assy Side Guarding And Change Over ETU ?100,20
009570-211-62550,Assy Side Guarding And Change Over ETU ?100,0
009570-211-61600,Assy Side Guarding And Change Over ETU ?100,0
009570-211-61500,Assy Side Guarding And Change Over ETU ?100,4
009570-211-61400,Assy Side Guarding And Change Over ETU ?100,12
009570-211-61350,Assy Side Guarding And Change Over ETU ?100,0
009570-211-61300,Assy Side Guarding And Change Over ETU ?100,0
009570-211-61250,Assy Side Guarding And Change Over ETU ?100,2
009570-211-61200,Assy Side Guarding And Change Over ETU ?100,1
009570-211-61150,Assy Side Guarding And Change Over ETU ?100,0
009570-211-61100,Assy Side Guarding And Change Over ETU ?100,1
009570-211-61050,Assy Side Guarding And Change Over ETU ?100,1
009570-211-61000,Assy Side Guarding And Change Over ETU ?100,1
009570-211-60950,Assy Side Guarding And Change Over ETU ?100,1
009570-211-60900,Assy Side Guarding And Change Over ETU ?100,0
009570-211-60850,Assy Side Guarding And Change Over ETU ?100,0
009570-211-60800,Assy Side Guarding And Change Over ETU ?100,15
009570-211-60750,Assy Side Guarding And Change Over ETU ?100,4
009570-211-60550,Assy Side Guarding And Change Over ETU ?100,0
009570-211-60500,Assy Side Guarding And Change Over ETU ?100,0
009570-211-60450,Assy Side Guarding And Change Over ETU ?100,0
009570-211-33000,Assy Side Guarding And Change Over ETU ?100,0
009570-211-31500,Assy Side Guarding And Change Over ETU ?100,1
009570-211-30900,Assy Side Guarding And Change Over ETU ?100,0
009570-211-30700,Assy Side Guarding And Change Over ETU ?100,0
009570-211-30450,Assy Side Guarding And Change Over ETU ?100,0
004552-07000,Belt EL0/V10 LG-SE black W=700 endless tol acc elastic,29
009570-210-60000,Assy Change Over ETU ?100,0
009570-209-63000,Assy Side Guarding BF For Change Over ETU ?100,0
009570-209-61250,Assy Side Guarding BF For Change Over ETU ?100,0
009570-208-63000,Assy Side Guarding And Change Over ETU ?75,2
009570-208-60850,Assy Side Guarding And Change Over ETU ?75,0
009570-208-30950,Assy Side Guarding And Change Over ETU ?75,0
009570-176-60448,Weldment Side Guarding BF For Change Over ETU ?100,0
009570-172-60448,Weldment Side Guarding BF For Change Over ETU ?75,0
009570-170-60448,Weldment Side Guarding BF For Change Over ETU ?75,0
009527-129-00558,Slide plate right,0
009527-119-00001,"Assy skewed roller total 60mm pitch, align to left",4
009527-118-00001,"Assy skewed roller total 60mm pitch, align to right",3
009527-068-00001,Bottom belt cover left st. st.,0
009527-064-00001,End frame align to left (60mm pitch),0
009527-057-00001,Assy safety strip,0
009527-053-03748,Assy SG Skewed Roller (400V),0
012632-157-00001,Assy finger protection,375
012632-157-10001,Assy finger protection,0
009249-826-00001,Assy Mod-Kit TBS Frame,0
009249-771-00110,Assy PAD support,0
009249-771-00030,Assy PAD support,2
009249-771-00010,Assy PAD support,77
009249-766-00001,Joining Plate Reinforcement,9875
009249-765-00250,EM Assembly Ground wire for ESD 4mm2 M6-M8,0
009249-746-00190,Assy Sliding plate from BC-BF left,24
009249-746-00150,Assy Sliding plate from LRC-BF left,23
009249-746-00090, Assy Sliding plate from BC-BF left,84
009249-745-00190,Assy Sliding plate from BC-BF right,24
009249-745-00150,Assy Sliding plate from LRC-BF right,42
009249-745-00090,Assy Sliding plate from BC-BF right,110
009249-735-50625,Assy Bridge Conveyor,8
009249-735-50624,Assy Bridge Conveyor,0
009249-735-40624,Assy Bridge Conveyor,28
009249-717-00145,Outer channel LRC 45ø W=720,0
009249-696-20633,Assy BRM,8
009249-684-21025,Assy LRJ 30ø right,0
009249-684-21024,Assy LRJ 30ø right,6
009249-684-21013,Assy LRJ 30ø right,2
009249-684-21012,Assy LRJ 30ø right,7
009249-684-20612,Assy LRJ 30ø right,12
009249-683-21024,Assy LRJ 30ø left,0
009249-683-21013,Assy LRJ 30ø left,0
009249-683-21012,Assy LRJ 30ø left,1
009249-683-20625,Assy LRJ 30ø left,3
009249-683-20612,Assy LRJ 30ø left,1
009249-682-21025,Assy LRJ 45ø right,2
009249-682-21014,Assy LRJ 45ø right,4
009249-682-20614,Assy LRJ 45ø right,0
009249-681-21025,Assy LRJ 45ø left,1
009249-681-21014,Assy LRJ 45ø left,3
009249-679-21043,ASSY Curve 90ø,0
009249-679-21023,ASSY Curve 90ø,4
009249-679-20627,ASSY Curve 90ø,2
009249-679-20624,ASSY Curve 90ø,4
009249-679-20623,ASSY Curve 90ø,3
009249-679-20622,ASSY Curve 90ø,141
009249-679-20322,ASSY Curve 90ø,1
009249-678-20624,ASSY Curve 60ø,5
009249-678-20623,ASSY Curve 60ø,2
009249-678-20622,ASSY Curve 60ø,5
009249-677-21023,ASSY Curve 45ø,0
009249-677-21014,ASSY Curve 45ø,2
009249-677-21013,ASSY Curve 45ø,3
009249-677-20614,ASSY Curve 45ø,5
009249-677-20612,ASSY Curve 45ø,24
009249-676-20615,ASSY Curve 30ø,3
009249-676-20614,ASSY Curve 30ø,1
009249-676-20612,ASSY Curve 30ø,16
009249-660-10150,Drive train LRJ 520 SEW US IE3,6
009249-654-00060,Assy Drivetrain SR start-stop SEW (US) IE3,0
009249-654-00045,Assy Drivetrain SR start-stop SEW (US) IE3,2
009249-653-00110,Assy Drivetrain SR SEW (US) IE3,0
009249-653-00060,Assy Drivetrain SR SEW (US) IE3,8
009249-653-00045,Assy Drivetrain SR SEW (US) IE3,6
009249-653-00030,Assy Drivetrain SR SEW (US) IE3,3
009249-652-10060,Assy Drivetrain LR/ARP SEW (US) IE3,7
009249-652-10045,Assy Drivetrain LR/ARP SEW (US) IE3,3
009249-652-00060,Assy Drivetrain LR/ARP SEW (US) IE3,29
009249-652-00045,Assy Drivetrain LR/ARP SEW (US) IE3,5
009249-648-00045,Assy Drivetrain LR/ARP SEW IE3,0
009249-645-11090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
009249-645-11060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,7
009249-645-11045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,3
009249-645-10130,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,1
009249-645-10090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,19
009249-645-10060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,19
009249-645-10045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,29
009249-645-10030,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,0
009249-645-01090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,7
009249-645-01060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,9
009249-645-01045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,3
009249-645-00090,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,20
009249-645-00060,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,12
009249-645-00045,Assy Drivetrain ?75 Drive High Power SEW (US) IE3,27
009249-640-11069,Assy Drive Train MD 90ø Transfer SEW (US) IE3,56
009249-640-11049,Assy Drive Train MD 90ø Transfer SEW (US) IE3,0
009249-640-10049,Assy Drive Train MD 90ø Transfer SEW (US) IE3,0
009249-637-20060,Assy drivetrain TBS SEW (US),70
009249-637-20045,Assy drivetrain TBS SEW (US),0
009249-637-20030,Assy drivetrain TBS SEW (US),17
009249-632-00001,Assy Reflector Low Adjustable / 60mm to side,128
009249-627-00001,Assy PEC Low Adjustable / with PEC / 10mm detection / 60mm to side,128
009249-621-00650,"?50 gravity roller with axle ?17 axle extension 5 mm (2x), M8, EL= 650mm",52
009249-577-00013,Assy BRM,0
009249-554-00001,Assy Cabling CBK-109FP (1 Dir M12),1610
009249-549-21043,ASSY Curve 90ø,0
009249-549-20624,ASSY Curve 90ø,0
009249-549-20623,ASSY Curve 90ø,0
009249-549-20622,ASSY Curve 90ø,0
009249-549-20322,ASSY Curve 90ø,0
009249-548-20624,ASSY Curve 60ø,0
009249-548-20623,ASSY Curve 60ø,0
009249-548-20622,ASSY Curve 60ø,0
009249-548-20322,ASSY Curve 60ø,0
009249-547-21023,ASSY Curve 45ø,0
009249-547-21022,ASSY Curve 45ø,0
009249-547-20615,ASSY Curve 45ø,0
009249-547-20614,ASSY Curve 45ø,0
009249-547-20612,ASSY Curve 45ø,0
009249-547-20312,ASSY Curve 45ø,0
009249-544-00045,Inner channel LRC 45ø,0
009249-519-20615,ASSY Curve 30ø,0
009249-519-20612,ASSY Curve 30ø,0
009249-494-20004,Assy belt guiding unit MB,220
009249-468-00520,Side safety cover 90ø transfer MB,88
009249-467-00155,Assy Safety Cover Bracket,2
009249-467-00055,Assy Safety Cover Bracket,1110
009249-466-00154,MB Drive Safety Cover Plate,0
009249-466-00054,MB Drive Safety Cover Plate,555
009249-465-01574,Assy Safety Cover Accumulation Unit,0
009249-465-00574,Assy Safety Cover Accumulation Unit,2090
009249-465-00559,Assy Safety Cover Accumulation Unit,530
009249-465-00544,Assy Safety Cover Accumulation Unit,186
009249-462-00007,Bracket outercurve for underguarding,4
009249-462-00004,Bracket outercurve for underguarding,8
009249-462-00003,Bracket outercurve for underguarding,12
009249-462-00002,Bracket outercurve for underguarding,222
009249-461-45960,Sheet underguarding LRC,2
009249-461-45660,Sheet underguarding LRC,4
009249-461-45560,Sheet underguarding LRC,6
009249-461-45460,Sheet underguarding LRC,111
009249-461-30660,Sheet underguarding LRC,5
009249-461-30560,Sheet underguarding LRC,2
009249-461-30460,Sheet underguarding LRC,1
009249-460-90072,Assy underguarding LRC,0
009249-460-90062,Assy underguarding LRC,0
009249-460-90052,Assy underguarding LRC,0
009249-460-60072,Assy underguarding LRC,0
009249-460-60062,Assy underguarding LRC,0
009249-460-60052,Assy underguarding LRC,0
009249-460-45082,Assy underguarding LRC,0
009249-460-45072,Assy underguarding LRC,0
009249-460-45062,Assy underguarding LRC,0
009249-460-45052,Assy underguarding LRC,0
009249-460-30082,Assy underguarding LRC,0
009249-460-30052,Assy underguarding LRC,0
009249-459-00004,Bracket outercurve for underguarding,5
009249-459-00003,Bracket outercurve for underguarding,2
009249-459-00002,Bracket outercurve for underguarding,1
009249-458-00090,bracket innercurve for underguarding,125
009249-458-00060,bracket innercurve for underguarding,8
009249-456-10001,Assy slide plate RM,0
009249-456-00001,Assy slide plate RM,0
009249-453-00001,Assy anti-skewing bracket MDR,3982
009249-442-31102,Assy powerfeeder SB-SB,2
009249-442-31092,Assy powerfeeder SB-SB,1
009249-442-31082,Assy powerfeeder SB-SB,1
009249-442-31062,Assy powerfeeder SB-SB,1
009249-442-31052,Assy powerfeeder SB-SB,18
009249-442-30102,Assy powerfeeder SB-SB,0
009249-442-30082,Assy powerfeeder SB-SB,7
009249-442-30072,Assy powerfeeder SB-SB,0
009249-442-30062,Assy powerfeeder SB-SB,5
009249-442-30052,Assy powerfeeder SB-SB,13
009249-442-21102,Assy powerfeeder SB-SB,1
009249-442-21082,Assy powerfeeder SB-SB,2
009249-442-21062,Assy powerfeeder SB-SB,1
009249-442-21052,Assy powerfeeder SB-SB,8
009249-442-20082,Assy powerfeeder SB-SB,6
009249-442-20062,Assy powerfeeder SB-SB,17
009249-442-20052,Assy powerfeeder SB-SB,8
009249-441-30092,Assy powerfeeder extended SB-SB,1
009249-441-30052,Assy powerfeeder extended SB-SB,1
009249-441-21052,Assy powerfeeder extended SB-SB,3
009249-441-20052,Assy powerfeeder extended SB-SB,12
009249-436-11020,Assy 24V end drive,7
009249-436-10820,Assy 24V end drive,29
009249-436-10720,Assy 24V end drive,47
009249-436-10620,Assy 24V end drive,239
009249-436-10520,Assy 24V end drive,465
009249-436-01020,Assy 24V end drive,7
009249-436-00820,Assy 24V end drive,0
009249-436-00720,Assy 24V end drive,118
009249-436-00620,Assy 24V end drive,475
009249-436-00520,Assy 24V end drive,229
009249-435-51295,Assy U-Side Guarding support Adjustable,476
009249-435-50295,Assy U-Side Guarding support Adjustable,0
009249-434-01020,Assy tilt ETU,14
009249-434-00820,Assy tilt ETU,29
009249-434-00720,Assy tilt ETU,165
009249-434-00620,Assy tilt ETU,705
009249-434-00520,Assy tilt ETU,699
009249-431-10092,ETU Non-conveyable,2
009249-431-10082,ETU Non-conveyable,3
009249-431-10062,ETU Non-conveyable,0
009249-431-10052,ETU Non-conveyable,45
009249-431-00092,ETU Non-conveyable,2
009249-431-00082,ETU Non-conveyable,3
009249-431-00062,ETU Non-conveyable,0
009249-431-00052,ETU Non-conveyable,45
009249-426-00040,Assy R3 support low single,140
009249-426-00015,Assy R3 support low single,156
009249-423-00001,Assy PEC Bracket High,0
009249-422-33004,Assy Accumulation Unit,10
009249-422-23004,Assy Accumulation Unit,1739
009249-422-22004,Assy Accumulation Unit,656
009249-422-21004,Assy Accumulation Unit,190
009249-420-00001,Assy Reflector Bracket Low,0
009249-419-00001,Assy PEC Bracket Low,0
009249-418-00920,Safety cover for conveyors in sequence,0
009249-418-00820,Safety cover for conveyors in sequence,11
009249-418-00720,Safety cover for conveyors in sequence,69
009249-418-00620,Safety cover for conveyors in sequence,42
009249-418-00520,Safety cover for conveyors in sequence,85
009249-403-06072,Assy transfer belt single,0
009249-403-06052,Assy transfer belt single,87
009249-391-00620,Assy connection Vanderlande BC - DotM,0
009249-391-00520,Assy connection Vanderlande BC - DotM,2
012632-906-00001,Finger protection short,33506
009249-353-90072,Assy Underguarding LRC 400V,0
009249-353-90062,Assy Underguarding LRC 400V,0
009249-353-90052,Assy Underguarding LRC 400V,0
009249-353-45062,Assy Underguarding LRC 400V,0
009249-353-45052,Assy Underguarding LRC 400V,0
009249-342-00620,Assy LRC 90ø CCW,0
009249-342-00520,Assy LRC 90ø CCW,2
009249-341-00620,Assy LRC 90ø CW,1
009249-341-00520,Assy LRC 90ø CW,0
009249-313-10520,Assy LRJ 30ø Powertwist Left,6
009249-312-11020,Assy LRJ 20ø Right,0
009249-312-10920,Assy LRJ 20ø Right,0
009249-310-00660,Assy Movable Stop,5
009249-265-00002,Assy cover ARP/LR,100
009249-265-00001,Assy cover ARP/LR,100
009249-260-02923,Assy underguarding cover ARP/LR,264
009249-190-00001,Connection DOTM,0
009249-184-00720,End cover TBS,0
009249-184-00520,End cover TBS,157
009249-173-00001,Assy LR bracket,14
009249-111-11072,Assy holding brake for BOR,0
009249-111-11062,Assy holding brake for BOR,0
009249-097-02400,Assy wooden side cover,0
009249-088-00001,Assy cover for tension unit ?200 drive,866
009249-018-13092,Assy pressure unit ARP,60
009249-018-13062,Assy pressure unit ARP,0
009249-018-13052,Assy pressure unit ARP,468
009249-018-12062,Assy pressure unit ARP,0
009249-018-12052,Assy pressure unit ARP,443
009201-729-00001,HC-SPO Exit module EM Typical (ECO09) (UL),0
009201-727-00001,HC-SPO Entry module EM Typical (ECO06)(UL),0
009201-722-00040,Guard Rail U-Shape Innercurve H=100mm Ri2000,0
009201-722-00030,Guard Rail U-Shape Innercurve H=100mm Ri2000,0
009201-722-00020,Guard Rail U-Shape Innercurve H=100mm Ri2000,0
009201-720-00040,Weldment Outer Side Guarding LRC,0
009201-720-00030,Weldment Outer Side Guarding LRC,0
009201-720-00020,Weldment Outer Side Guarding LRC,0
009201-717-01020,Assy LRJ Underguarding Right,0
009201-717-00620,Assy LRJ Underguarding Right,8
009201-706-00960,"?50 Poly-V Belt Driven Roller, Steel Welded Adapter, Axle ?14, M8",0
009201-706-00930,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00903,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00876,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00849,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00821,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00794,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00767,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00740,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00713,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00686,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00659,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00632,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00604,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00577,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00560,"?50 Poly-V Belt Driven Roller, Steel Welded Adapter, Axle ?14, M8",0
009201-706-00550,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00530,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00523,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00503,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00496,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00476,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00469,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00449,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00442,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00421,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00414,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00394,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00387,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00367,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00360,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00340,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00333,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00313,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00306,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00286,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00279,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00259,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00252,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00232,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00225,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00204,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00197,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00177,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00170,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00150,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-706-00143,"?50 Poly-V Belt Driven Roller; Steel Welded Adapter; Axle ?14, M8",0
009201-705-13200,Assy shoe merge line sorter,0
009201-705-10200,Assy shoe merge line sorter,0
009201-705-10100,Assy shoe merge line sorter,0
009201-684-01020,LR Motor Underguarding,0
009201-684-00620,LR Motor Underguarding,14
009201-683-01020,Assy LRJ Underguarding Left,0
009201-683-00620,Assy LRJ Underguarding Left,6
009201-682-00040,Assy LRC Underguarding,0
009201-682-00030,Assy LRC Underguarding,0
009201-682-00020,Assy LRC Underguarding,0
009201-681-00001,Guiding angle installation Tool,0
009201-680-01020,Assy LRJ 20ø Right,0
009201-680-00620,Assy LRJ 20ø Right,8
009201-679-01020,Assy LRJ 20ø Left,0
009201-679-00620,Assy LRJ 20ø Left,6
009201-675-00001,Assy LRC HS 20ø Ri2000 W620,0
009201-674-00001,Assy LRC HS 30ø Ri2000 W620,0
009201-673-00001,Assy LRC HS 40ø Ri2000 W620,0
009201-671-02040,Assy Drive Train LR/LRC/LRJ,14
009201-671-01530,Assy Drive Train LR/LRC/LRJ,0
009201-662-01020,Weldment Crossmember Drive Train LR,0
009201-662-00620,Weldment Crossmember Drive Train LR,0
009201-624-11165,Assy Drive ?200 HS,0
009201-624-11157,Assy Drive ?200 HS,0
009201-624-11137,Assy Drive ?200 HS,1
009201-624-11135,Assy Drive ?200 HS,3
009201-624-11125,Assy Drive ?200 HS,11
009201-624-11065,Assy Drive ?200 HS,3
009201-624-11057,Assy Drive ?200 HS,3
009201-624-11037,Assy Drive ?200 HS,6
009201-624-11035,Assy Drive ?200 HS,2
009201-624-11025,Assy Drive ?200 HS,0
009201-624-01157,Assy Drive ?200 HS,2
009201-624-01155,Assy Drive ?200 HS,1
009201-624-01137,Assy Drive ?200 HS,1
009201-624-01135,Assy Drive ?200 HS,4
009201-624-01125,Assy Drive ?200 HS,11
009201-624-01065,Assy Drive ?200 HS,1
009201-624-01035,Assy Drive ?200 HS,0
009201-608-02990,Guiding angle idle and divert track for filling,0
009201-608-01500,Guiding angle idle and divert track for filling,0
009201-608-00750,Guiding angle idle and divert track for filling,0
009201-608-00500,Guiding angle idle and divert track for filling,0
009201-608-00300,Guiding angle idle and divert track for filling,0
009201-603-00001,Bracket,0
009201-586-00000,HC-SPO Switch frame Tote-Tray EM (DSF27 / 28),0
009201-571-13001,HC-SPO Shoe merge top Assy (ECO07) (UL),0
009201-571-10001,HC-SPO Shoe merge top Assy (ECO07) (UL),0
009201-571-10000,"HC-SPO 	Shoe merge top Assy (ECO07)",0
009201-570-20130,Carriers & Chain service hatch SPO3 20‹¨« L=2286 mm Low noise,0
009201-570-10100,Carriers & Chain service hatch SPO3 20‹¨« L=2286 mm Low noise,0
009201-567-00001,Assy Tote/tray alignment guide,0
009201-560-00200,Side guard Chute triangle left,0
009201-559-00200,Side guard Chute triangle right,0
009201-556-00001,HC-SPO Entry module EM Typical (ECO06) (UL),0
009201-556-00000,HC-SPO Entry module EM Typical (ECO06) ,0
009201-554-00000,HC-SPO Shoe merge top EM (ECO07),0
009201-553-00000,HC-SPO Switch frame EM (DSF31 / 32),0
009201-552-00000,HC-SPO Switch frame EM (DSF23 / 24 / 25 / 26),0
009201-551-00001,HC-SPO Exit module EM Typical (ECO09) (UL),0
009201-484-00001,Assy divert switch 20-2 right SPO 3 (tote),0
009201-476-00002,Assy SPO3.1 ETU top covers,0
009201-476-00001,Assy SPO3.1 ETU top covers,0
009201-471-00001,SPO3.1 Connection charge conveyor sort side ,0
009201-470-00001,Assy divert switch 20-1 left SPO 3 (parcel),0
009201-469-00001,Assy motor unit 1,0
009201-468-00001,Assy motor unit 2,0
009201-465-00001,Assy divert blade 1,0
009201-464-00001,Assy divert blade 2,0
009201-462-01130,Carriers & Chain assy SPO 3.1 20ø L=2286 mm Low noise,0
009201-462-00130,Carriers & Chain assy SPO 3.1 20ø L=2286 mm Low noise,0
009201-446-13011,HC-SPO Switch frame Assy Left parcel (DSF31) (UL),0
009201-445-10011,HC-SPO Switch frame Assy Right Tote (DSF26) (UL),0
009201-445-10010,HC-SPO Switch frame Assy Right Tote (DSF26),0
009201-442-10011,HC-SPO Switch frame Assy Left Tray (DSF23) (UL),0
009201-442-10010,HC-SPO Switch frame Assy Left Tray (DSF23),0
009201-441-10021,HC-SPO Shoe select Assy Right (DSF22) (UL),0
009201-441-10020,HC-SPO Shoe select Assy Right (DSF22),0
009201-440-13021,HC-SPO Shoe select Assy Left (DSF21) (UL),0
009201-440-10021,HC-SPO Shoe select Assy Left (DSF21) (UL),0
009201-440-10020,HC-SPO Shoe select Assy Left (DSF21),0
009201-438-00002,Tool prox. switch adjustment ,0
009201-438-00001,Tool prox. switch adjustment ,0
009201-426-01020,End cap LR,0
009201-426-00820,End cap LR,0
009201-426-00720,End cap LR,0
009201-426-00620,End cap LR,8
009201-425-00960,"?50 Poly-V Belt driven roller with axle ?14, M8, EL= EL",0
009201-425-00560,"?50 Poly-V Belt driven roller with axle ?14, M8, EL= EL",0
009201-416-00025,Assy Encoder accessories (Kubler),0
009201-415-00001,Assy BLDC actuator divert,0
009201-405-00001,Assy LRC HS 40ø Ri2000 W620,0
009201-404-00001,Assy LRC HS 30ø Ri2000 W620,0
009201-403-01020,Assy LRJ HS 20ø Right,0
009201-403-00620,Assy LRJ HS 20ø Right,0
009201-402-01020,Assy LRJ HS 20ø Left,0
